section,subject,ir_or_delta,value,units,provenance
"equivalence","green_present_full_arm_max_dev","delta","79","Ir","docs/perf/_raw_item56_endpoint_42d42061.log vs docs/perf/_raw_item56_bisect2_5289c66.log (decomp_full_cycle_8x)"
"equivalence","green_present_decomp_full_cycle_8x_dev","delta","79","Ir","docs/perf/_raw_item56_endpoint_42d42061.log vs docs/perf/_raw_item56_bisect2_5289c66.log"
"equivalence","green_present_decomp_os_roundtrip_8x_dev","delta","16","Ir","docs/perf/_raw_item56_endpoint_42d42061.log vs docs/perf/_raw_item56_bisect2_5289c66.log"
"equivalence","red_only_large_cache_hit_only_4mib_dev","delta","262","Ir","docs/perf/_raw_item56_endpoint_42d42061.log vs docs/perf/_raw_item56_bisect2_5289c66.log (arm added in-range; eb2463a/e88390b)"
"equivalence","red_only_large_cache_prefill_only_4mib_dev","delta","232","Ir","docs/perf/_raw_item56_endpoint_42d42061.log vs docs/perf/_raw_item56_bisect2_5289c66.log (arm added in-range; eb2463a/e88390b)"
"equivalence","identity_note","delta","eb2463a449ca3497ce2761ee32f95cdc63bac321,e88390bc88c863c8861d8bdda26fb49269cf9a89","sha","post-5289c66 large-cache perf(runtime) commits shaping the red-only deviators"
"equivalence","proof_basis","delta","bisect2 GOOD boundary (ce3f44d 8,810) + counterfactual A (all arms <= +5 Ir) + A' (max 1 Ir vs 5df56d3)","note","docs/perf/_raw_item56_bisect2_run.log; counterfactual logs"
"decomposition","reprC_fixed_churn_delta_at_5df56d3","delta","759","Ir","docs/perf/_raw_item56_bisect_5df56d3.log"
"decomposition","reprC_2n_delta_at_5df56d3","delta","4416","Ir","docs/perf/_raw_item56_bisect_5df56d3.log"
"decomposition","reprC_2n_delta_green","delta","4416","Ir","docs/perf/_raw_item56_endpoint_42d8d223.log"
"decomposition","reprC_per_op_delta","delta","0","Ir","docs/perf/_raw_item56_bisect_5df56d3.log"
"decomposition","reprC_fixed_per_PerClass","delta","15.49","Ir/PerClass","docs/perf/_raw_item56_bisect_5df56d3.log"
"decomposition","reprC_large_alloc_free_cycle_delta","delta","772","Ir","docs/perf/_raw_item56_bisect_5df56d3.log"
"decomposition","owncache_2n_delta_at_5289c66","delta","4608","Ir","docs/perf/_raw_item56_bisect2_5289c66.log"
"decomposition","owncache_2n_delta_increment","delta","192","Ir","docs/perf/_raw_item56_bisect2_5289c66.log"
"decomposition","owncache_per_pair_cost","delta","3.00","Ir/pair","docs/perf/_raw_item56_bisect2_5289c66.log"
"decomposition","owncache_fixed_churn_part","delta","35","Ir","docs/perf/_raw_item56_bisect2_5289c66.log"
"decomposition","owncache_contains_base_probe_delta","delta","239","Ir","docs/perf/_raw_item56_bisect2_5289c66.log vs docs/perf/_raw_item56_bisect_5df56d3.log"
"decomposition","owncache_hash_probe_delta","delta","47","Ir","docs/perf/_raw_item56_bisect2_5289c66.log vs docs/perf/_raw_item56_bisect_5df56d3.log"
"decomposition","owncache_per_call_counter_cost","delta","3.00","Ir/call","docs/perf/_raw_item56_bisect2_5289c66.log vs docs/perf/_raw_item56_bisect_5df56d3.log"
"decomposition","churn_decomposition_roundtrip_check","delta","ok","assert","docs/perf/_raw_item56_bisect2_5289c66.log"
"counterfactual_a","small_churn_16b","ir","8055","Ir","docs/perf/_raw_item56_counterfactual_5df56d3_reverted.log"
"counterfactual_a","large_alloc_free_cycle","ir","3312","Ir","docs/perf/_raw_item56_counterfactual_5df56d3_reverted.log"
"counterfactual_a","dealloc_flush_class_only_16b","ir","4343","Ir","docs/perf/_raw_item56_counterfactual_5df56d3_reverted.log"
"counterfactual_a","small_churn_16b_delta_vs_green","delta","4","Ir","docs/perf/_raw_item56_counterfactual_5df56d3_reverted.log"
"counterfactual_a","large_alloc_free_cycle_delta_vs_green","delta","4","Ir","docs/perf/_raw_item56_counterfactual_5df56d3_reverted.log"
"counterfactual_a","dealloc_flush_class_only_16b_delta_vs_green","delta","5","Ir","docs/perf/_raw_item56_counterfactual_5df56d3_reverted.log"
"counterfactual_a","arms_over_10pct","count","0","arms","docs/perf/_raw_item56_counterfactual_5df56d3_reverted.log"
"counterfactual_a","max_abs_dev_vs_green","delta","116","Ir","docs/perf/_raw_item56_counterfactual_5df56d3_reverted.log"
"counterfactual_a2","small_churn_16b","ir","8810","Ir","docs/perf/_raw_item56_counterfactual_5289c66_reverted.log"
"counterfactual_a2","large_alloc_free_cycle","ir","4080","Ir","docs/perf/_raw_item56_counterfactual_5289c66_reverted.log"
"counterfactual_a2","dealloc_contains_base_probe_only_16b","ir","9492","Ir","docs/perf/_raw_item56_counterfactual_5289c66_reverted.log"
"counterfactual_a2","max_abs_dev_vs_5df56d3","delta","1","Ir","docs/perf/_raw_item56_counterfactual_5289c66_reverted.log vs docs/perf/_raw_item56_bisect_5df56d3.log"
"counterfactual_a2","arms_at_plus1_vs_5df56d3","count","29","arms","docs/perf/_raw_item56_counterfactual_5289c66_reverted.log vs docs/perf/_raw_item56_bisect_5df56d3.log"
"counterfactual_a2","compared_arms","count","81","arms","docs/perf/_raw_item56_counterfactual_5289c66_reverted.log"
"identity","5df56d3:src/registry/tcache.rs","sha","070840795fd8db18915454ea7e94c189523c9635","sha","counterfactual A: reverted-to blob (5df56d3^ content)"
"identity","5df56d3^:src/registry/tcache.rs","sha","99648c0cf0e41c152f0fa87d094fc0a080446ada","sha","counterfactual A: reverted-to blob"
"identity","5289c66:src/alloc_core/segment_table.rs","sha","2cc7b5fc72e9c2a7066a30e54fb291acea1c1242","sha","counterfactual A': 5289c66 side of the swap"
"identity","5289c66^:src/alloc_core/segment_table.rs","sha","0b480a7a18f204f0aa64af6c734fd41799c8f70c","sha","counterfactual A': reverted-to blob"
"identity","5289c66^:src/alloc_core/alloc_core.rs","sha","9430055a2c4f008b88c60be3b89d442f3c3d750c","sha","counterfactual A': reverted-to blob"
"identity","5289c66^:src/alloc_core/alloc_core_core_diag.rs","sha","d97faa597bd34002e394c1eb480ae316bba44b5d","sha","counterfactual A': reverted-to blob"
"identity","5289c66^:src/registry/heap_core_diag.rs","sha","0e6d665045527ca24aead2c12ba889272d756256","sha","counterfactual A': reverted-to blob"
"identity","5df56d3","sha","5df56d376735933b3fb6c0097f5984771afab276","sha","bisect 1 first bad commit (repr(C) PerClass, R32-5, task #496)"
"identity","5289c66","sha","5289c661877462f3caf6c4e136ad3c163f6fe15b","sha","bisect 2 first bad commit (OWN_CACHE_SIZE 16 + Tier-1 counters, R32-10, task #501)"
"identity","42d8d223","sha","42d8d223f89c9e81dea18a509a433f9aea7a430d","sha","green endpoint commit (last CI green)"
"identity","42d42061","sha","42d4206178a1604dc8a5e87e7ca6a747f2ffd19a","sha","red endpoint commit (first CI red)"
